Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.721,0.39586206896551723,0.7051597051597052,0.5070671378091873,0.7742611640916726
Random Forest,0.8475,0.646551724137931,0.5528255528255528,0.5960264900662252,0.849872214278994
XGBoost,0.8585,0.662303664921466,0.6216216216216216,0.641318124207858,0.8650214158688736
